ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
PCG,53297774592,17.418804,13.770269,2.1511858,1.6593388,0.132,0.263,0.36091,0.10167,0.02319,0.09972,0.903,228.678,-6309499904.0,8403999744.0
PSX,55502249984,11.372213,12.120659,0.36549985,1.8842989,0.087,-0.359,0.10974,0.03372,0.04768,0.16921,1.145,65.428,2637125120.0,7760000000.0
PNW,9988766720,16.221401,18.240664,2.0426764,1.6081651,0.167,0.872,0.41786,0.12655,0.025559999,0.10266,0.658,177.478,-126306624.0,1918966016.0
POOL,14171109376,31.153069,30.66308,2.6398983,9.962079,-0.047,-0.156,0.29642,0.0858,0.11175,0.31962,2.484,100.929,524428864.0,696185024.0
PPL,24095666176,28.902655,17.846994,2.917504,1.7131767,0.032,0.708,0.42838,0.10170999,0.031070001,0.059949998,1.113,115.222,-565500032.0,3294000128.0
PFG,20949088256,17.197718,10.743467,1.338292,1.9079558,0.212,-0.057,0.43653,0.0805,0.00327,0.118190005,1.528,38.081,650737472.0,1853799936.0
PG,403371261952,29.480207,23.05249,4.8074756,7.735874,-0.006,-0.119,0.51707,0.17063,0.10531,0.28766,0.754,69.337,13177624576.0,23900999680.0
PRU,45481799680,16.25,8.68439,0.7356181,1.6265976,0.103,1.377,0.27352,0.04611,0.0032,0.09594,0.749,143.358,17848000512.0,3942333440.0
PEG,44715020288,27.2,21.78641,4.3649964,2.8248625,0.001,-0.263,0.35836,0.16117,0.02796,0.10694,0.646,136.261,-1201374976.0,3620999936.0
PTC,22152892416,75.265305,31.629501,9.985325,7.343103,-0.044,0.118,0.79813004,0.13316,0.05256,0.10524999,0.696,66.058,3354500.0,592105984.0
PSA,60489719808,32.361423,32.544254,12.98334,11.290712,0.045,-0.113,0.73856,0.44637,0.07545,0.20954001,0.981,95.888,2215985408.0,3349156096.0
PHM,30929375232,11.377098,10.918681,1.8360071,2.7609713,0.098,0.192,0.29775,0.16750999,0.14309,0.26968,5.964,20.276,1128856064.0,3721209088.0
PWR,46301396992,59.184555,30.962563,2.10165,7.007603,0.108,0.125,0.13956,0.03587,0.046880003,0.13081001,1.296,58.01,1523643520.0,1792580992.0
QCOM,190404870144,21.828863,15.356693,5.0979915,7.7318373,0.111,0.174,0.55894,0.23326,0.12084,0.38924,2.394,58.995,11305249792.0,11564999680.0
